regine,parameter,source,proportion_pct
022.,tot-p,agri,24.94966267352985
022.,tot-p,aqu,0.0
022.,tot-p,ind,0.0
022.,tot-p,nat-diff,47.36574235875723
022.,tot-p,ren,15.185412974275575
022.,tot-p,spr,11.058631395621294
022.,tot-p,urban,1.4688012092989868
023.,tot-n,agri,12.776386481825336
023.,tot-n,aqu,0.0
023.,tot-n,ind,0.5905397728408347
023.,tot-n,nat-diff,82.7844686130401
023.,tot-n,ren,1.0136359611620978
023.,tot-n,spr,2.835589903595937
023.,tot-n,urban,0.0
023.,tot-p,agri,26.44109327973363
023.,tot-p,aqu,0.0
023.,tot-p,ind,0.0
023.,tot-p,nat-diff,54.341748395210246
023.,tot-p,ren,1.0162430179060777
023.,tot-p,spr,18.097564059600476
023.,tot-p,urban,0.0
024.,tot-n,agri,12.787645734471031
024.,tot-n,aqu,8.887617675081083
024.,tot-n,ind,0.0
024.,tot-n,nat-diff,70.09825557599689
024.,tot-n,ren,6.240542853529865
024.,tot-n,spr,1.9855202202569344
024.,tot-n,urban,0.0
024.,tot-p,agri,8.878232519300695
024.,tot-p,aqu,44.795438084207476
024.,tot-p,ind,0.0
024.,tot-p,nat-diff,15.762342351362168
024.,tot-p,ren,26.059071837592235
024.,tot-p,spr,4.504915207537432
024.,tot-p,urban,0.0
025.,tot-n,agri,5.67422786089722
025.,tot-n,aqu,13.996234308788047
025.,tot-n,ind,2.795413703090387
025.,tot-n,nat-diff,73.17012599156973
025.,tot-n,ren,3.108281084094388
025.,tot-n,spr,1.0281820040413476
025.,tot-n,urban,0.22714873265787175
025.,tot-p,agri,4.576822777442955
025.,tot-p,aqu,70.43428461092026
025.,tot-p,ind,0.33426183844011137
025.,tot-p,nat-diff,19.061326921856327
025.,tot-p,ren,2.6054568425579814
025.,tot-p,spr,1.9262642808827841
025.,tot-p,urban,1.0896660739032686
